Embedding Index statistics
==================================================

Total occurrence: 280512
undead index number: 7113
Average occurrence: 39.44
Maximum occurrence: 8125
Minimum occurrence: 1
Occurrence variance: 37627.27
Occurrence range: 8124

All Index statistics (sorted by occurrence):
------------------------------
Index 4319: 8125 times
Index 14813: 3924 times
Index 21227: 3597 times
Index 24601: 3452 times
Index 40701: 3066 times
Index 41986: 2920 times
Index 37950: 2768 times
Index 57784: 2579 times
Index 46491: 2449 times
Index 38814: 2179 times
Index 54856: 2047 times
Index 53966: 2024 times
Index 31787: 1948 times
Index 31853: 1844 times
Index 14655: 1838 times
Index 29951: 1759 times
Index 15460: 1753 times
Index 41700: 1693 times
Index 3770: 1646 times
Index 8994: 1644 times
Index 36254: 1563 times
Index 9869: 1327 times
Index 50501: 1311 times
Index 475: 1305 times
Index 1138: 1293 times
Index 33925: 1289 times
Index 1126: 1243 times
Index 63317: 1235 times
Index 17035: 1221 times
Index 7051: 1219 times
Index 49362: 1172 times
Index 3092: 1167 times
Index 17795: 1147 times
Index 51722: 1126 times
Index 18852: 1117 times
Index 21001: 1105 times
Index 38682: 1093 times
Index 27124: 1083 times
Index 59839: 1060 times
Index 10266: 1060 times
Index 22526: 1053 times
Index 12881: 1050 times
Index 55491: 1039 times
Index 25095: 1029 times
Index 43242: 1028 times
Index 11268: 1025 times
Index 16504: 999 times
Index 60683: 986 times
Index 9094: 974 times
Index 17225: 967 times
Index 19122: 964 times
Index 32509: 959 times
Index 14376: 943 times
Index 16503: 939 times
Index 62715: 920 times
Index 55880: 914 times
Index 64534: 910 times
Index 50744: 904 times
Index 46194: 893 times
Index 2038: 893 times
Index 52433: 892 times
Index 17258: 889 times
Index 32959: 877 times
Index 16095: 864 times
Index 46580: 856 times
Index 58388: 849 times
Index 57532: 838 times
Index 50234: 832 times
Index 35381: 829 times
Index 6787: 826 times
Index 21450: 826 times
Index 10583: 824 times
Index 40787: 823 times
Index 33983: 800 times
Index 5263: 792 times
Index 12285: 773 times
Index 1306: 760 times
Index 5411: 750 times
Index 21637: 730 times
Index 51664: 715 times
Index 50340: 703 times
Index 13334: 701 times
Index 52783: 701 times
Index 43991: 691 times
Index 440: 683 times
Index 52065: 675 times
Index 18429: 660 times
Index 6443: 658 times
Index 6931: 653 times
Index 42630: 629 times
Index 26176: 624 times
Index 31755: 615 times
Index 20922: 607 times
Index 11155: 601 times
Index 31360: 596 times
Index 3535: 588 times
Index 8547: 583 times
Index 13709: 579 times
Index 1946: 565 times
Index 50585: 561 times
Index 39394: 561 times
Index 50639: 558 times
Index 55334: 553 times
Index 4073: 548 times
Index 23118: 545 times
Index 10395: 534 times
Index 24372: 534 times
Index 31223: 528 times
Index 5050: 526 times
Index 60711: 521 times
Index 26852: 518 times
Index 41183: 514 times
Index 31471: 498 times
Index 52225: 494 times
Index 51524: 491 times
Index 56169: 485 times
Index 60267: 482 times
Index 63300: 482 times
Index 50511: 475 times
Index 43840: 470 times
Index 6833: 469 times
Index 22235: 459 times
Index 704: 453 times
Index 6698: 450 times
Index 26076: 447 times
Index 25578: 446 times
Index 7931: 445 times
Index 28875: 444 times
Index 27483: 443 times
Index 5225: 442 times
Index 54205: 432 times
Index 15161: 429 times
Index 50749: 427 times
Index 61243: 418 times
Index 26756: 411 times
Index 52157: 401 times
Index 44428: 401 times
Index 5087: 400 times
Index 30356: 400 times
Index 37068: 398 times
Index 45439: 396 times
Index 60426: 395 times
Index 45162: 393 times
Index 40804: 390 times
Index 32775: 388 times
Index 64940: 377 times
Index 25507: 377 times
Index 48308: 369 times
Index 56740: 369 times
Index 63893: 362 times
Index 37635: 360 times
Index 26380: 355 times
Index 22756: 354 times
Index 6643: 350 times
Index 30046: 350 times
Index 7473: 348 times
Index 8192: 345 times
Index 13481: 339 times
Index 49706: 338 times
Index 46211: 337 times
Index 34035: 337 times
Index 47161: 332 times
Index 9620: 331 times
Index 24443: 328 times
Index 46214: 327 times
Index 50621: 327 times
Index 9321: 325 times
Index 10475: 322 times
Index 45270: 322 times
Index 58309: 318 times
Index 1034: 315 times
Index 16566: 313 times
Index 29678: 313 times
Index 41159: 313 times
Index 48452: 311 times
Index 54446: 310 times
Index 45701: 307 times
Index 45939: 307 times
Index 32005: 307 times
Index 25800: 307 times
Index 45868: 305 times
Index 53874: 304 times
Index 58357: 302 times
Index 25674: 301 times
Index 7007: 299 times
Index 19784: 295 times
Index 33476: 292 times
Index 39653: 292 times
Index 3512: 290 times
Index 31168: 290 times
Index 3883: 289 times
Index 53428: 288 times
Index 54074: 287 times
Index 43827: 286 times
Index 52242: 285 times
Index 36439: 282 times
Index 12237: 282 times
Index 55669: 282 times
Index 11764: 281 times
Index 45121: 275 times
Index 26003: 274 times
Index 51509: 273 times
Index 108: 272 times
Index 22678: 268 times
Index 42824: 266 times
Index 11763: 266 times
Index 35212: 266 times
Index 15141: 265 times
Index 43205: 265 times
Index 50509: 264 times
Index 54476: 263 times
Index 6151: 258 times
Index 18004: 258 times
Index 50765: 256 times
Index 51573: 256 times
Index 44097: 255 times
Index 62462: 254 times
Index 29354: 254 times
Index 5006: 253 times
Index 38450: 252 times
Index 65407: 251 times
Index 10234: 250 times
Index 21645: 250 times
Index 50518: 250 times
Index 4311: 248 times
Index 29388: 247 times
Index 15831: 245 times
Index 21954: 244 times
Index 64652: 243 times
Index 14429: 242 times
Index 45950: 239 times
Index 16807: 235 times
Index 5644: 235 times
Index 57296: 232 times
Index 18019: 231 times
Index 56400: 230 times
Index 61580: 230 times
Index 23284: 228 times
Index 39804: 228 times
Index 10141: 227 times
Index 51837: 227 times
Index 52610: 227 times
Index 24486: 226 times
Index 11925: 224 times
Index 17139: 223 times
Index 21976: 223 times
Index 41582: 222 times
Index 29083: 221 times
Index 27954: 220 times
Index 13934: 220 times
Index 26427: 220 times
Index 50345: 220 times
Index 44680: 219 times
Index 12259: 218 times
Index 58115: 217 times
Index 53981: 214 times
Index 47429: 214 times
Index 31450: 214 times
Index 24887: 213 times
Index 43907: 211 times
Index 47899: 210 times
Index 42985: 209 times
Index 38351: 204 times
Index 11948: 204 times
Index 49014: 203 times
Index 35927: 202 times
Index 6436: 202 times
Index 42246: 201 times
Index 45590: 201 times
Index 55999: 200 times
Index 49474: 200 times
Index 44787: 200 times
Index 4626: 199 times
Index 46707: 199 times
Index 45029: 197 times
Index 10406: 197 times
Index 61269: 196 times
Index 25744: 196 times
Index 16478: 194 times
Index 11310: 192 times
Index 42120: 190 times
Index 26381: 188 times
Index 9982: 188 times
Index 14343: 188 times
Index 56310: 187 times
Index 54595: 186 times
Index 64251: 185 times
Index 46213: 184 times
Index 19350: 183 times
Index 32441: 182 times
Index 13014: 182 times
Index 14981: 182 times
Index 62374: 182 times
Index 39430: 181 times
Index 58574: 180 times
Index 55861: 180 times
Index 46473: 179 times
Index 5553: 178 times
Index 18544: 177 times
Index 34995: 176 times
Index 9957: 175 times
Index 18588: 175 times
Index 50752: 175 times
Index 16165: 175 times
Index 61442: 174 times
Index 9863: 174 times
Index 12337: 173 times
Index 54519: 172 times
Index 25771: 172 times
Index 4889: 172 times
Index 51651: 171 times
Index 7966: 171 times
Index 3129: 170 times
Index 25283: 170 times
Index 35768: 170 times
Index 25152: 169 times
Index 46198: 168 times
Index 46944: 167 times
Index 32764: 166 times
Index 7606: 166 times
Index 52061: 166 times
Index 12157: 165 times
Index 52741: 162 times
Index 63393: 162 times
Index 62109: 162 times
Index 40184: 162 times
Index 14321: 162 times
Index 20056: 161 times
Index 11694: 159 times
Index 64737: 159 times
Index 20143: 158 times
Index 27886: 158 times
Index 45796: 158 times
Index 64712: 157 times
Index 60898: 157 times
Index 27279: 157 times
Index 9931: 156 times
Index 44713: 155 times
Index 26083: 155 times
Index 32712: 154 times
Index 43235: 154 times
Index 31113: 154 times
Index 3506: 154 times
Index 3524: 153 times
Index 46185: 151 times
Index 41188: 151 times
Index 28324: 150 times
Index 27023: 150 times
Index 35227: 149 times
Index 62497: 148 times
Index 65373: 147 times
Index 1557: 147 times
Index 57722: 147 times
Index 42653: 146 times
Index 139: 145 times
Index 22399: 145 times
Index 53944: 145 times
Index 28353: 144 times
Index 28952: 144 times
Index 50256: 143 times
Index 41756: 142 times
Index 24078: 142 times
Index 4108: 141 times
Index 64730: 141 times
Index 1590: 140 times
Index 17717: 140 times
Index 54896: 140 times
Index 12797: 140 times
Index 18854: 140 times
Index 43597: 140 times
Index 5372: 140 times
Index 11139: 140 times
Index 14724: 139 times
Index 32442: 138 times
Index 50967: 138 times
Index 9713: 137 times
Index 63657: 136 times
Index 14098: 135 times
Index 2660: 135 times
Index 61235: 135 times
Index 14881: 135 times
Index 65517: 134 times
Index 27756: 134 times
Index 28137: 134 times
Index 18183: 133 times
Index 55198: 133 times
Index 48705: 133 times
Index 54684: 132 times
Index 9220: 132 times
Index 26653: 132 times
Index 1220: 132 times
Index 53730: 132 times
Index 9742: 131 times
Index 2781: 131 times
Index 36758: 131 times
Index 18500: 131 times
Index 34082: 130 times
Index 3353: 130 times
Index 54562: 129 times
Index 26446: 129 times
Index 6022: 129 times
Index 22203: 127 times
Index 18003: 127 times
Index 58547: 126 times
Index 42348: 125 times
Index 54567: 124 times
Index 18809: 124 times
Index 13143: 123 times
Index 60570: 123 times
Index 9564: 123 times
Index 58429: 123 times
Index 58683: 123 times
Index 55808: 122 times
Index 20634: 122 times
Index 57926: 122 times
Index 2671: 122 times
Index 13398: 122 times
Index 39015: 122 times
Index 12645: 120 times
Index 6382: 120 times
Index 44138: 120 times
Index 22272: 119 times
Index 53087: 119 times
Index 15579: 119 times
Index 6457: 118 times
Index 53340: 118 times
Index 15090: 118 times
Index 57717: 117 times
Index 56989: 117 times
Index 19624: 117 times
Index 29938: 117 times
Index 31144: 116 times
Index 48169: 116 times
Index 41951: 115 times
Index 3188: 115 times
Index 41260: 114 times
Index 48064: 114 times
Index 59953: 113 times
Index 6832: 112 times
Index 13515: 111 times
Index 61929: 111 times
Index 52613: 111 times
Index 34276: 111 times
Index 62751: 110 times
Index 569: 110 times
Index 42895: 109 times
Index 41843: 109 times
Index 54543: 109 times
Index 54868: 109 times
Index 33449: 109 times
Index 57157: 109 times
Index 25521: 108 times
Index 51046: 108 times
Index 55620: 108 times
Index 30444: 108 times
Index 10655: 108 times
Index 45778: 107 times
Index 33775: 107 times
Index 48984: 107 times
Index 48738: 107 times
Index 37436: 107 times
Index 1127: 107 times
Index 6583: 106 times
Index 33959: 106 times
Index 43322: 105 times
Index 1770: 105 times
Index 23920: 104 times
Index 48111: 104 times
Index 31816: 104 times
Index 22391: 103 times
Index 64584: 103 times
Index 46591: 102 times
Index 47168: 102 times
Index 6127: 102 times
Index 62766: 101 times
Index 6408: 101 times
Index 17144: 101 times
Index 58713: 101 times
Index 23150: 100 times
Index 33536: 100 times
Index 48334: 100 times
Index 63055: 99 times
Index 50507: 99 times
Index 11291: 99 times
Index 17560: 98 times
Index 47362: 98 times
Index 2596: 98 times
Index 36300: 98 times
Index 12973: 97 times
Index 55679: 97 times
Index 36874: 97 times
Index 46710: 97 times
Index 3933: 96 times
Index 17235: 96 times
Index 52669: 96 times
Index 5799: 96 times
Index 50933: 96 times
Index 40565: 96 times
Index 23098: 95 times
Index 44220: 95 times
Index 40442: 95 times
Index 60699: 95 times
Index 43171: 95 times
Index 8852: 95 times
Index 407: 94 times
Index 4810: 94 times
Index 47156: 93 times
Index 44956: 93 times
Index 26588: 93 times
Index 50706: 93 times
Index 44126: 93 times
Index 2209: 93 times
Index 41796: 93 times
Index 53200: 93 times
Index 9633: 93 times
Index 48615: 92 times
Index 8641: 92 times
Index 15791: 92 times
Index 2232: 92 times
Index 24966: 91 times
Index 1981: 91 times
Index 12704: 91 times
Index 38636: 90 times
Index 50861: 90 times
Index 13512: 90 times
Index 30731: 90 times
Index 31204: 89 times
Index 47072: 89 times
Index 32303: 89 times
Index 54289: 89 times
Index 3544: 88 times
Index 28493: 88 times
Index 27732: 88 times
Index 9461: 88 times
Index 15430: 87 times
Index 41318: 87 times
Index 1403: 87 times
Index 27576: 87 times
Index 26790: 87 times
Index 13375: 87 times
Index 4847: 86 times
Index 60875: 86 times
Index 40219: 86 times
Index 49325: 85 times
Index 48192: 85 times
Index 9111: 85 times
Index 26508: 85 times
Index 10455: 85 times
Index 19698: 85 times
Index 40762: 85 times
Index 33995: 85 times
Index 64270: 84 times
Index 10324: 84 times
Index 53542: 84 times
Index 23627: 84 times
Index 24285: 84 times
Index 25921: 84 times
Index 14835: 83 times
Index 54261: 83 times
Index 32630: 82 times
Index 51503: 82 times
Index 55556: 82 times
Index 59752: 82 times
Index 48022: 82 times
Index 56380: 82 times
Index 7887: 82 times
Index 12107: 81 times
Index 25959: 81 times
Index 32761: 80 times
Index 12801: 80 times
Index 5346: 80 times
Index 18316: 80 times
Index 41875: 79 times
Index 49426: 79 times
Index 44490: 79 times
Index 53653: 79 times
Index 51698: 79 times
Index 38945: 79 times
Index 17084: 78 times
Index 41830: 78 times
Index 31821: 78 times
Index 58895: 78 times
Index 31118: 77 times
Index 56320: 77 times
Index 39317: 77 times
Index 21750: 77 times
Index 26772: 77 times
Index 60615: 77 times
Index 16725: 77 times
Index 41046: 77 times
Index 57558: 76 times
Index 28292: 76 times
Index 2453: 76 times
Index 48243: 76 times
Index 44029: 76 times
Index 18443: 75 times
Index 65301: 75 times
Index 64124: 75 times
Index 54773: 75 times
Index 24920: 75 times
Index 28383: 75 times
Index 4676: 74 times
Index 47942: 74 times
Index 14285: 74 times
Index 46642: 74 times
Index 19866: 74 times
Index 31482: 74 times
Index 57843: 74 times
Index 12644: 74 times
Index 29778: 74 times
Index 64648: 74 times
Index 34916: 74 times
Index 48949: 73 times
Index 59514: 73 times
Index 56509: 73 times
Index 38489: 73 times
Index 48614: 73 times
Index 46226: 72 times
Index 42665: 72 times
Index 59396: 72 times
Index 25598: 72 times
Index 24100: 72 times
Index 15247: 71 times
Index 12949: 71 times
Index 41311: 71 times
Index 24447: 71 times
Index 19404: 71 times
Index 18048: 71 times
Index 1860: 71 times
Index 38192: 70 times
Index 11387: 70 times
Index 276: 70 times
Index 30075: 70 times
Index 10481: 70 times
Index 3495: 70 times
Index 22291: 70 times
Index 44599: 70 times
Index 64384: 70 times
Index 28123: 69 times
Index 36842: 69 times
Index 42009: 69 times
Index 16983: 69 times
Index 18134: 69 times
Index 9878: 69 times
Index 36377: 69 times
Index 48936: 69 times
Index 15704: 69 times
Index 5921: 69 times
Index 28841: 69 times
Index 53831: 69 times
Index 23773: 69 times
Index 15217: 69 times
Index 25943: 68 times
Index 38989: 68 times
Index 29669: 68 times
Index 39398: 68 times
Index 25625: 67 times
Index 50987: 67 times
Index 20670: 67 times
Index 10174: 67 times
Index 9727: 66 times
Index 59831: 66 times
Index 31938: 66 times
Index 58327: 66 times
Index 29545: 66 times
Index 20689: 66 times
Index 47685: 66 times
Index 16637: 65 times
Index 15273: 65 times
Index 29771: 65 times
Index 20741: 65 times
Index 55066: 65 times
Index 27099: 64 times
Index 46477: 64 times
Index 55981: 64 times
Index 53360: 64 times
Index 27250: 63 times
Index 1241: 63 times
Index 35063: 63 times
Index 22696: 63 times
Index 59643: 63 times
Index 25930: 63 times
Index 13617: 63 times
Index 38098: 63 times
Index 42804: 63 times
Index 54340: 63 times
Index 11640: 62 times
Index 31966: 62 times
Index 45721: 62 times
Index 18157: 62 times
Index 57653: 62 times
Index 8096: 62 times
Index 39860: 62 times
Index 52189: 61 times
Index 1091: 61 times
Index 3300: 61 times
Index 34690: 61 times
Index 62024: 61 times
Index 3725: 61 times
Index 25021: 61 times
Index 47269: 61 times
Index 25667: 61 times
Index 37127: 61 times
Index 1116: 61 times
Index 60191: 60 times
Index 31740: 60 times
Index 45704: 60 times
Index 14265: 60 times
Index 12112: 60 times
Index 5570: 60 times
Index 3189: 60 times
Index 21468: 60 times
Index 48033: 60 times
Index 14127: 60 times
Index 8971: 60 times
Index 3718: 59 times
Index 24146: 59 times
Index 33951: 59 times
Index 1041: 59 times
Index 51828: 59 times
Index 12111: 59 times
Index 31902: 59 times
Index 29513: 59 times
Index 48457: 59 times
Index 575: 59 times
Index 30026: 58 times
Index 31968: 58 times
Index 19973: 58 times
Index 31737: 57 times
Index 33969: 57 times
Index 44367: 57 times
Index 25259: 57 times
Index 61688: 57 times
Index 48420: 57 times
Index 25510: 57 times
Index 25127: 57 times
Index 29934: 56 times
Index 17796: 56 times
Index 55886: 56 times
Index 32334: 56 times
Index 45074: 56 times
Index 19305: 56 times
Index 11036: 56 times
Index 6229: 56 times
Index 33315: 56 times
Index 408: 55 times
Index 3962: 55 times
Index 52794: 55 times
Index 44609: 55 times
Index 25865: 55 times
Index 14629: 55 times
Index 63004: 55 times
Index 17388: 55 times
Index 49638: 55 times
Index 18830: 55 times
Index 45239: 54 times
Index 49310: 54 times
Index 20696: 54 times
Index 40499: 54 times
Index 16333: 54 times
Index 59825: 54 times
Index 18052: 54 times
Index 50306: 54 times
Index 8606: 54 times
Index 23795: 54 times
Index 14932: 54 times
Index 25420: 54 times
Index 3320: 54 times
Index 34511: 54 times
Index 64110: 54 times
Index 22767: 54 times
Index 49334: 54 times
Index 10677: 54 times
Index 7346: 54 times
Index 17389: 54 times
Index 9883: 54 times
Index 36887: 53 times
Index 27393: 53 times
Index 62899: 53 times
Index 15973: 53 times
Index 63398: 53 times
Index 42902: 53 times
Index 8321: 53 times
Index 43623: 53 times
Index 41673: 53 times
