Embedding Index statistics
==================================================

Total occurrence: 249344
undead index number: 7113
Average occurrence: 35.05
Maximum occurrence: 7182
Minimum occurrence: 1
Occurrence variance: 28682.03
Occurrence range: 7181

All Index statistics (sorted by occurrence):
------------------------------
Index 4319: 7182 times
Index 14813: 3395 times
Index 21227: 3135 times
Index 24601: 3027 times
Index 40701: 2682 times
Index 41986: 2526 times
Index 37950: 2424 times
Index 57784: 2285 times
Index 46491: 2109 times
Index 38814: 1893 times
Index 54856: 1811 times
Index 53966: 1744 times
Index 31787: 1703 times
Index 14655: 1590 times
Index 31853: 1555 times
Index 29951: 1551 times
Index 15460: 1512 times
Index 41700: 1479 times
Index 8994: 1456 times
Index 3770: 1432 times
Index 36254: 1391 times
Index 50501: 1164 times
Index 9869: 1149 times
Index 475: 1126 times
Index 33925: 1122 times
Index 1138: 1099 times
Index 1126: 1067 times
Index 17035: 1060 times
Index 7051: 1052 times
Index 63317: 1048 times
Index 49362: 1022 times
Index 3092: 1002 times
Index 17795: 982 times
Index 21001: 981 times
Index 51722: 965 times
Index 38682: 950 times
Index 27124: 935 times
Index 18852: 930 times
Index 59839: 923 times
Index 10266: 918 times
Index 55491: 917 times
Index 12881: 908 times
Index 22526: 887 times
Index 25095: 884 times
Index 11268: 877 times
Index 43242: 876 times
Index 16504: 857 times
Index 19122: 835 times
Index 17225: 827 times
Index 60683: 826 times
Index 55880: 822 times
Index 9094: 816 times
Index 32509: 815 times
Index 14376: 813 times
Index 16503: 812 times
Index 62715: 796 times
Index 64534: 788 times
Index 2038: 770 times
Index 50744: 769 times
Index 52433: 762 times
Index 32959: 760 times
Index 17258: 757 times
Index 58388: 755 times
Index 46194: 748 times
Index 16095: 745 times
Index 46580: 737 times
Index 57532: 730 times
Index 35381: 728 times
Index 10583: 727 times
Index 50234: 711 times
Index 40787: 703 times
Index 33983: 700 times
Index 21450: 700 times
Index 6787: 692 times
Index 5263: 677 times
Index 1306: 666 times
Index 12285: 660 times
Index 5411: 646 times
Index 21637: 630 times
Index 43991: 614 times
Index 51664: 605 times
Index 50340: 604 times
Index 13334: 603 times
Index 52783: 601 times
Index 52065: 593 times
Index 440: 586 times
Index 6931: 584 times
Index 6443: 578 times
Index 18429: 558 times
Index 26176: 556 times
Index 31360: 545 times
Index 31755: 542 times
Index 42630: 538 times
Index 20922: 520 times
Index 8547: 513 times
Index 11155: 512 times
Index 13709: 504 times
Index 50585: 500 times
Index 3535: 495 times
Index 39394: 490 times
Index 1946: 483 times
Index 4073: 482 times
Index 10395: 481 times
Index 55334: 479 times
Index 23118: 475 times
Index 50639: 464 times
Index 24372: 460 times
Index 60711: 459 times
Index 41183: 459 times
Index 31471: 455 times
Index 5050: 453 times
Index 31223: 452 times
Index 60267: 441 times
Index 26852: 441 times
Index 51524: 440 times
Index 52225: 439 times
Index 56169: 437 times
Index 63300: 430 times
Index 6833: 426 times
Index 50511: 421 times
