0: [0.0, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34, -3.5926668282492632e-34]
1: [0.0, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31, -7.2601568584187e-31]
2: [0.0, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43, -4.28797330083394e-43]
3: [0.0, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43, -4.3019862854771884e-43]
4: [0.0, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43, -7.132609183413319e-43]
5: [0.0, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42, -9.988455453707296e-42]
6: [0.0, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40, -4.554318099948158e-40]
7: [0.0, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37, -1.5215642884541702e-37]
8: [0.0, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33, -2.44410052752817e-33]
9: [0.0, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39, -5.298432807876994e-39]
